Time,LoadKW,PVKW,FiniteMinutes,AlignedMinutes,Rows,House,Date,ValidHour
2020-06-21 05:00:00,0.2644499999999999,0.0,60,60,60,7,2020-06-21,True
2020-06-21 06:00:00,0.15353,0.05621,60,60,60,7,2020-06-21,True
2020-06-21 07:00:00,0.06729,0.3917,60,60,60,7,2020-06-21,True
2020-06-21 08:00:00,0.11275,0.94917,60,60,60,7,2020-06-21,True
2020-06-21 09:00:00,0.2773899999999999,0.90561,60,60,60,7,2020-06-21,True
2020-06-21 10:00:00,0.79353,1.18272,60,60,60,7,2020-06-21,True
2020-06-21 11:00:00,0.25995,1.59795,60,60,60,7,2020-06-21,True
2020-06-21 12:00:00,0.55131,1.66349,60,60,60,7,2020-06-21,True
2020-06-21 13:00:00,0.27386,1.50448,60,60,60,7,2020-06-21,True
2020-06-21 14:00:00,0.14924,1.53975,60,60,60,7,2020-06-21,True
2020-06-21 15:00:00,0.23527,1.27932,60,60,60,7,2020-06-21,True
2020-06-21 16:00:00,0.15844,0.84566,60,60,60,7,2020-06-21,True
2020-06-21 17:00:00,1.14571,0.43029,60,60,60,7,2020-06-21,True
2020-06-21 18:00:00,0.42457,0.2687,60,60,60,7,2020-06-21,True
2020-06-21 19:00:00,0.28891,0.16752,60,60,60,7,2020-06-21,True
2020-06-21 20:00:00,0.29189,0.08136,60,60,60,7,2020-06-21,True
2020-06-21 21:00:00,0.8365699999999999,0.0120299999999999,60,60,60,7,2020-06-21,True
2020-06-21 22:00:00,0.37053,0.0,60,60,60,7,2020-06-21,True
2020-06-21 23:00:00,0.3374,0.0,60,60,60,7,2020-06-21,True
2020-01-19 00:00:00,0.3435899999999999,0.0,60,60,60,8,2020-01-19,True
2020-01-19 01:00:00,3.15676,0.0,60,60,60,8,2020-01-19,True
2020-01-19 02:00:00,3.2867800000000003,0.0,60,60,60,8,2020-01-19,True
