Date,LegacyMeanWhPerMinute,MinimumHomesPresent,Minutes,AmbientTemperatureC
2020-11-22,219.4895590277778,20,1440,7.060667361111111
2020-11-23,219.75461111111113,20,1440,11.047661805555556
2020-11-24,214.95328124999997,20,1440,9.135105555555555
2020-11-25,217.51609027777778,20,1440,7.84234375
2020-11-26,219.01671180555556,20,1440,6.750588194444444
2020-11-27,200.87850694444444,20,1440,7.649290277777777
2020-11-28,210.62743055555555,20,1440,9.712918055555557
2020-11-29,222.90393402777775,20,1440,9.287638888888889
2020-11-30,219.94439583333332,20,1440,9.996592361111112
2020-12-01,239.56184375,20,1440,10.401388888888889
2020-12-02,206.55480555555553,20,1440,8.675418749999999
2020-12-03,230.69509722222222,20,1440,5.253734027777778
2020-12-04,186.67384375,20,1440,6.31245625
2020-12-05,176.25508333333335,20,1440,7.937975694444444
2020-12-06,146.56237847222224,20,1440,5.950017361111111
2020-12-07,145.7216585988562,20,1440,3.845036111111111
2020-12-08,169.19700112336602,20,1440,5.762723611111111
2020-12-09,184.69006944444445,20,1440,8.822484722222223
2020-12-10,175.97175316620402,20,1440,9.82357638888889
2020-12-11,200.33059058379598,19,1440,8.993169444444446
2020-12-12,200.14205555555554,19,1440,8.106483333333333
2020-12-13,230.14753125000001,19,1440,11.135055555555555
2020-12-14,225.6673125,19,1440,8.82182361111111
2020-12-15,222.05668402777778,19,1440,8.322147916666667
2020-12-16,229.25130208333334,19,1440,9.030236111111112
2020-12-17,250.49522916666666,19,1440,10.504025694444445
2020-12-18,223.58723958333334,19,1440,10.632979166666667
2020-12-19,261.1881701388889,19,1440,8.443495833333333
2020-12-20,238.03066319444446,19,1440,7.943504861111112
2020-12-21,249.05785416666666,19,1440,9.240729166666666
2020-12-22,249.79197569444446,19,1440,4.771550694444445
2020-12-23,262.18368055555555,19,1440,6.995201388888889
2020-12-24,292.35935416666666,19,1440,6.917557638888889
2020-12-25,305.5854375,19,1440,6.024211111111111
2020-12-26,264.4820798611111,19,1440,9.630992361111112
2020-12-27,265.4865277777778,19,1440,6.300990277777777
2020-12-28,276.3995625,19,1440,7.172324305555557
2020-12-29,266.05153125000004,19,1440,6.1854611111111115
2020-12-30,236.02003125,19,1440,5.346577083333333
2020-12-31,260.75968728283533,18,1439,5.629215972222222
