Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-05-18,246.07254,20,20,1440,True,246.07254,12.862326388888889
2020-05-19,261.05489500000004,20,20,1440,True,261.05489500000004,12.9449375
2020-05-20,247.337405,20,20,1440,True,247.337405,12.808381944444445
2020-05-21,252.05314500000003,20,20,1440,True,252.05314500000003,12.418444444444445
2020-05-22,255.17527,20,20,1440,True,255.17527,12.257291666666667
2020-05-23,271.77692,20,20,1440,True,271.77692,11.827291666666666
2020-05-24,246.41185499999997,20,20,1440,True,246.41185499999997,12.815333333333335
2020-05-25,239.59885500000001,20,20,1440,True,239.59885500000001,12.33913888888889
2020-05-26,247.251115,20,20,1440,True,247.251115,13.339965277777777
2020-05-27,250.47043500000004,20,20,1440,True,250.47043500000004,13.338472222222224
2020-05-28,227.203665,20,20,1440,True,227.203665,18.118402777777778
2020-05-29,224.81248000000002,20,20,1440,True,224.81248000000002,17.994555555555557
2020-05-30,224.71376,20,20,1440,True,224.71376,18.162708333333335
2020-05-31,242.085585,20,20,1440,True,242.085585,18.88107638888889
2020-06-01,338.10092000000003,20,20,1440,True,338.10092000000003,16.569652777777776
2020-06-02,246.522635,20,20,1440,True,246.522635,15.674395833333334
2020-06-03,288.19485,20,20,1440,True,288.19485,13.719618055555555
2020-06-04,298.84417,20,20,1440,True,298.84417,11.782013888888887
2020-06-05,243.70789499999998,20,20,1440,True,243.70789499999998,11.592354166666668
2020-06-06,231.80876500000002,20,20,1440,True,231.80876500000002,9.947805555555556
2020-06-07,245.04933499999999,20,20,1440,True,245.04933499999999,11.491131944444444
2020-06-08,247.15508499999999,20,20,1440,True,247.15508499999999,11.875256944444443
2020-06-09,297.937695,20,20,1440,True,297.937695,12.084819444444443
2020-06-10,265.08295499999997,20,20,1440,True,265.08295499999997,11.584458333333332
2020-06-11,271.212205,20,20,1440,True,271.212205,13.988715277777779
2020-06-12,315.607375,20,20,1440,True,315.607375,13.848625
2020-06-13,216.028435,20,20,1440,True,216.028435,15.078208333333333
2020-06-14,231.591615,20,20,1440,True,231.591615,14.651263888888888
2020-06-15,226.182235,20,20,1440,True,226.182235,13.914868055555555
2020-06-16,241.09788,20,20,1440,True,241.09788,12.860236111111112
2020-06-17,232.86738,20,20,1440,True,232.86738,12.983
2020-06-18,215.216195,20,20,1440,True,215.216195,12.798166666666667
2020-06-19,226.29208,20,20,1440,True,226.29208,12.841506944444445
2020-06-20,259.09157,20,20,1440,True,259.09157,13.878215277777779
2020-06-21,235.67300500000002,20,20,1440,True,235.67300500000002,13.85
2020-06-22,245.752445,20,20,1440,True,245.752445,14.412069444444445
2020-06-23,238.28592999999998,20,20,1440,True,238.28592999999998,13.146013888888888
2020-06-24,223.34250500000002,20,20,1440,True,223.34250500000002,14.104131944444445
2020-06-25,213.313175,20,20,1440,True,213.313175,15.450701388888888
2020-06-26,197.26978999999997,20,20,1440,True,197.26978999999997,13.7091875
2020-06-27,227.91323500000001,20,20,1440,True,227.91323500000001,13.002576388888889
2020-06-28,218.394965,20,20,1440,True,218.394965,13.092756944444444
2020-06-29,219.981295,20,20,1440,True,219.981295,12.875833333333334
2020-06-30,222.16773999999998,20,20,1440,True,222.16773999999998,12.870534722222223
2020-07-01,310.68251000000004,20,20,1440,True,310.68251000000004,12.926604166666667
2020-07-02,288.52307,20,20,1440,True,288.52307,13.695500000000001
2020-07-03,339.19760499999995,20,20,1440,True,339.19760499999995,14.50945138888889
2020-07-04,273.596,20,20,1440,True,273.596,14.672340277777776
2020-07-05,253.48611499999998,20,20,1440,True,253.48611499999998,13.588006944444444
2020-07-06,218.97269500000002,20,20,1440,True,218.97269500000002,13.56053472222222
2020-07-07,231.53753500000002,20,20,1440,True,231.53753500000002,13.971368055555557
2020-07-08,259.786345,20,20,1440,True,259.786345,14.704131944444445
2020-07-09,278.95994,20,20,1440,True,278.95994,13.909895833333334
2020-07-10,296.24152000000004,20,20,1440,True,296.24152000000004,13.061159722222222
2020-07-11,295.59603500000003,20,20,1440,True,295.59603500000003,12.368707638888887
2020-07-12,339.56477,20,20,1440,True,339.56477,14.257895833333333
