Day,DemandChargeEURPerKW,Status,Feasible,P0KW,BillEUR,PeakKW,NightPeakKW,ObjectiveWithDemandChargeEUR,PaperSavingsPercent,BillPenaltyVsVppEUR,PaperSavingsSacrificePP,PeakReductionVsVppKW,PeakRatioToP0,PeakAtOrBelowP0,PeakAtOrBelowLex,VppTotalCostUnderTariffEUR,TotalCostSavingVsVppUnderTariffEUR,FrontierLowerBoundCapRatio,FrontierLowerBoundBillEUR,GapAboveFrontierLowerBoundEUR,ConsistentWithFrontier,MaximumRelativeMipGapPercent
2020-07-02,0.1,ok,1,24.4455305,29.3756690336254,25.6512017631579,25.6512017631579,31.9407892099412,33.3874241956718,2.56511999197073e-07,5.81669304722254e-07,45.3939598157895,1.04932072401366,0,0,36.4801849350081,4.53939572506694,1.25,29.3756687771134,2.56511999197073e-07,1,0
2020-07-02,0.2,ok,1,24.4455305,29.3756692901374,25.6512017631579,25.6512017631579,34.505909642769,33.3874236140024,5.13023998394146e-07,1.16333870181506e-06,45.3939598157895,1.04932072401366,0,0,43.5847010929029,9.07879145013388,1.25,29.3756687771134,5.13023998394146e-07,1,5.68330806097784e-15
2020-07-02,0.5,ok,1,24.4455305,29.3756700596743,25.6512017631579,25.6512017631579,42.2012709412533,33.3874218689925,1.28256089837464e-06,2.90834860550149e-06,45.3939598157895,1.04932072401366,0,0,64.8982495665871,22.6969786253338,1.25,29.3756687771134,1.28256089837464e-06,1,0
2020-07-02,1,ok,1,24.4455305,39.716862468029,12.8526270000002,12.8526270000002,52.5694894680292,9.93762529005627,10.3411936909156,23.4497994872848,58.1925345789472,0.5257659268225,1,1,100.420830356061,47.8513408880316,0.6,37.9989500531509,1.7179124148781,1,2.10853631992097e-14
2020-07-15,0.05,ok,1,13.431552,17.741289311099,17.2690219198891,17.2690219198891,18.6047404070935,50.7505584378731,-1.05547002249295e-08,-2.92996062967177e-08,38.5777089712725,1.28570562209707,0,0,20.5336258662118,1.92888545911828,1.5,17.7412893216536,-1.05546007489465e-08,1,0
2020-07-15,0.1,ok,1,13.431552,17.7412893015894,17.2690219094389,17.2690219094389,19.4681914925333,50.7505584642716,-2.00642986669664e-08,-5.56981021304637e-08,38.5777089817227,1.28570562131903,0,0,23.3259624107699,3.85777091823656,1.5,17.7412893216536,-2.00641991909833e-08,1,9.98908575055621e-14
2020-07-15,0.2,ok,1,13.431552,17.7412892851405,17.2690218913632,17.2690218913632,21.1950936634131,50.7505585099335,-3.65131995749834e-08,-1.01360001281137e-07,38.5777089997984,1.28570561997327,0,0,28.910635499886,7.71554183647292,1.5,17.7412893216536,-3.65131000990004e-08,1,0
2020-07-15,0.5,ok,1,13.431552,17.7412892497926,17.2690218525193,17.2690218525193,26.3758001760522,50.7505586080585,-7.18610984051793e-08,-1.99485000962341e-07,38.5777090386423,1.28570561708128,0,0,45.6646547672345,19.2888545911823,1.5,17.7412893216536,-7.18609989291963e-08,1,4.31804749564731e-14
2020-07-15,1,ok,1,13.431552,25.0499495240017,9.14856044852998,9.14856044852998,34.1985099725317,30.4618732278524,7.308660202348,20.2886851807211,46.6981704426316,0.681124597405421,1,1,73.5880202128153,39.3895102402836,0.7,24.7985958457358,0.2513536782659,1,0
2020-07-16,0.05,ok,1,13.8189275,11.6041742160888,10.9212011847418,10.9212011847418,12.1502342753259,65.0581471142213,0.00820103368430125,0.0246945027861045,24.7585571100742,0.790307437732907,1,1,13.3799610971453,1.2297268218194,0.8,11.6028575731968,0.00131664289200017,1,3.90831858122659e-08
2020-07-16,0.1,ok,1,13.8189275,11.6041737581342,10.9212006814951,10.9212006814951,12.6962938262837,65.0581484931892,0.00820057572970079,0.02469312381821,24.7585576133209,0.790307401315703,1,1,15.1639490118861,2.4676551856024,0.8,11.6028575731968,0.00131618493739971,1,0
2020-07-16,0.2,ok,1,13.8189275,11.6041737446122,10.9212006666357,10.9212006666357,13.7884138779393,65.0581485339059,0.00820056220770127,0.0246930831015106,24.7585576281803,0.790307400240409,1,1,18.7319248413677,4.9435109634284,0.8,11.6028575731968,0.00131617141540019,1,0
2020-07-16,0.5,ok,1,13.8189275,11.6041741656913,10.9212011293601,10.9212011293601,17.0647747303714,65.0581472659754,0.00820098328679997,0.0246943510319966,24.7585571654559,0.790307433725237,1,1,29.4358523298125,12.3710775994411,0.8,11.6028575731968,0.00131659249449889,1,4.08716275638634e-08
2020-07-16,1,ok,1,13.8189275,13.1095786606711,9.17490992901134,9.17490992901134,22.2844885896825,60.52515582534,1.5136054782666,4.5576857916674,26.5048483658047,0.663937916239255,1,1,47.2757314772205,24.991242887538,0.7,12.6771189016994,0.432459758971699,1,5.1069272059376e-08
2020-08-01,0.05,ok,1,24.74936,32.7646727790495,28.1157732631579,28.1157732631579,34.1704614422074,31.5272469794624,1.40578897855903e-07,2.93786598604129e-07,47.8455309473684,1.13602021479173,0,0,36.5627378489969,2.39227640678952,1.25,32.7646726384706,1.40578897855903e-07,1,0
2020-08-01,0.1,ok,1,24.74936,32.7646729196284,28.1157732631579,28.1157732631579,35.5762502459442,31.5272466856757,2.81157802817233e-07,5.87573300236954e-07,47.8455309473684,1.13602021479173,0,0,40.3608030595232,4.78455281357903,1.25,32.7646726384706,2.81157802817233e-07,1,0
2020-08-01,0.2,ok,1,24.74936,32.7646732007862,28.1157732631579,28.1157732631579,38.3878278534177,31.5272460981024,5.6231559852904e-07,1.17514660047391e-06,47.8455309473684,1.13602021479173,0,0,47.9569334805759,9.56910562715816,1.25,32.7646726384706,5.6231559852904e-07,1,0
2020-08-01,0.5,ok,1,24.74936,32.7646740442593,28.1157732631579,28.1157732631579,46.8225606758382,31.5272443353829,1.40578870144736e-06,2.93786609972813e-06,47.8455309473684,1.13602021479173,0,0,70.7453247437337,23.9227640678955,1.25,32.7646726384706,1.40578870144736e-06,1,0
2020-08-01,1,ok,1,24.74936,43.9620107194701,14.5668905997109,14.5668905997109,58.5289013191809,8.12666060851692,11.1973380809995,23.4005866647321,61.3944136108154,0.58857645610678,1,1,108.725976848997,50.197075529816,0.6,43.684464632016,0.277546087454098,1,0
2020-08-02,0.05,ok,1,23.2809665,30.3277253937946,25.8096805319511,25.8096805319511,31.6182094203922,32.5385360279219,3.6560870242397e-07,8.13265700116972e-07,51.0931236785752,1.10861722737976,0,1,34.1728652387122,2.55465581832001,1.25,30.3277250281859,3.6560870242397e-07,1,5.50670774905982e-15
